seed,observable,control_final,treatment_final,delta
700001,detritus,1018.747442132219,1019.9112288341591,1.1637867019401256
701001,detritus,1018.7474421323063,1019.8117724564829,1.0643303241765807
702001,detritus,1022.6780760342926,1018.8375643549618,-3.8405116793308025
703001,detritus,1018.7474421319062,1024.787327801122,6.0398856692158915
704001,detritus,1018.7474421320549,1022.294940343613,3.5474982115581497
705001,detritus,1018.9507600127207,1022.2481592354677,3.2973992227470035
706001,detritus,1018.7474421322307,1018.7474421323036,0.00000000007287326297955588
707001,detritus,1018.7474421322474,1019.9112288339818,1.1637867017343524
708001,detritus,1029.8840926433254,1018.7474421319712,-11.136650511354219
709001,detritus,1020.7270109063684,1018.7474421320123,-1.9795687743560393
710001,detritus,1018.7474421321128,1021.0341936255002,2.286751493387328
711001,detritus,1020.7839493212898,1025.2378135078752,4.453864186585406
700001,live.agent_count,10,10,0
701001,live.agent_count,10,10,0
702001,live.agent_count,10,10,0
703001,live.agent_count,10,10,0
704001,live.agent_count,10,10,0
705001,live.agent_count,10,10,0
706001,live.agent_count,10,10,0
707001,live.agent_count,10,10,0
708001,live.agent_count,10,10,0
709001,live.agent_count,10,10,0
710001,live.agent_count,10,10,0
711001,live.agent_count,10,10,0
700001,live.animals_eu,0,0,0
701001,live.animals_eu,0,0,0
702001,live.animals_eu,0,0,0
703001,live.animals_eu,0,0,0
704001,live.animals_eu,0,0,0
705001,live.animals_eu,0,0,0
706001,live.animals_eu,0,0,0
707001,live.animals_eu,0,0,0
708001,live.animals_eu,0,0,0
709001,live.animals_eu,0,0,0
710001,live.animals_eu,0,0,0
711001,live.animals_eu,0,0,0
700001,live.closed_eu_total,154587.24986349506,154587.24986350394,0.00000000887666828930378
701001,live.closed_eu_total,154587.24986349477,154587.24986349547,0.0000000006984919309616089
702001,live.closed_eu_total,154587.24986349902,154587.24986349518,-0.000000003841705620288849
703001,live.closed_eu_total,154587.24986349465,154587.24986351802,0.000000023370375856757164
704001,live.closed_eu_total,154587.2498634951,154587.24986350632,0.00000001123407855629921
705001,live.closed_eu_total,154587.24986349436,154587.24986350982,0.000000015454133972525597
706001,live.closed_eu_total,154587.2498634952,154587.24986349556,0.00000000034924596548080444
707001,live.closed_eu_total,154587.24986349518,154587.24986350388,0.000000008702045306563377
708001,live.closed_eu_total,154587.24986350464,154587.2498634948,-0.000000009837094694375992
709001,live.closed_eu_total,154587.2498636174,154587.24986349518,-0.00000012223608791828156
710001,live.closed_eu_total,154587.2498634952,154587.24986351025,0.000000015046680346131325
711001,live.closed_eu_total,154587.24986349657,154587.24986351805,0.000000021478626877069473
700001,live.food_items,50,50,0
701001,live.food_items,50,50,0
702001,live.food_items,50,50,0
703001,live.food_items,50,50,0
704001,live.food_items,50,50,0
705001,live.food_items,50,50,0
706001,live.food_items,50,50,0
707001,live.food_items,50,50,0
708001,live.food_items,50,50,0
709001,live.food_items,50,50,0
710001,live.food_items,50,50,0
711001,live.food_items,50,50,0
700001,live.herbivore_count,7,7,0
701001,live.herbivore_count,7,7,0
702001,live.herbivore_count,7,7,0
703001,live.herbivore_count,7,7,0
704001,live.herbivore_count,7,7,0
705001,live.herbivore_count,7,7,0
706001,live.herbivore_count,7,7,0
707001,live.herbivore_count,7,7,0
708001,live.herbivore_count,7,7,0
709001,live.herbivore_count,7,7,0
710001,live.herbivore_count,7,7,0
711001,live.herbivore_count,7,7,0
700001,live.mean_agent_energy,0,0,0
701001,live.mean_agent_energy,0,0,0
702001,live.mean_agent_energy,0,0,0
703001,live.mean_agent_energy,0,0,0
704001,live.mean_agent_energy,0,0,0
705001,live.mean_agent_energy,0,0,0
706001,live.mean_agent_energy,0,0,0
707001,live.mean_agent_energy,0,0,0
708001,live.mean_agent_energy,0,0,0
709001,live.mean_agent_energy,0,0,0
710001,live.mean_agent_energy,0,0,0
711001,live.mean_agent_energy,0,0,0
700001,live.predator_count,3,3,0
701001,live.predator_count,3,3,0
702001,live.predator_count,3,3,0
703001,live.predator_count,3,3,0
704001,live.predator_count,3,3,0
705001,live.predator_count,3,3,0
706001,live.predator_count,3,3,0
707001,live.predator_count,3,3,0
708001,live.predator_count,3,3,0
709001,live.predator_count,3,3,0
710001,live.predator_count,3,3,0
711001,live.predator_count,3,3,0
700001,live.season_phase,6.282561779022217,6.282561779022217,0
701001,live.season_phase,6.282561779022217,6.282561779022217,0
702001,live.season_phase,6.282561779022217,6.282561779022217,0
703001,live.season_phase,6.282561779022217,6.282561779022217,0
704001,live.season_phase,6.282561779022217,6.282561779022217,0
705001,live.season_phase,6.282561779022217,6.282561779022217,0
706001,live.season_phase,6.282561779022217,6.282561779022217,0
707001,live.season_phase,6.282561779022217,6.282561779022217,0
708001,live.season_phase,6.282561779022217,6.282561779022217,0
709001,live.season_phase,6.282561779022217,6.282561779022217,0
710001,live.season_phase,6.282561779022217,6.282561779022217,0
711001,live.season_phase,6.282561779022217,6.282561779022217,0
700001,live.standing_crop,153568.50242149248,153567.33863479062,-1.1637867018580437
701001,live.standing_crop,153568.50242149248,153567.43809116795,-1.0643303245306015
702001,live.standing_crop,153564.57178758993,153568.41229926958,3.840511679649353
703001,live.standing_crop,153568.50242149248,153562.46253582253,-6.0398856699466705
704001,live.standing_crop,153568.50242149248,153564.9549232812,-3.5474982112646103
705001,live.standing_crop,153568.29910361185,153565.001704389,-3.2973992228507996
706001,live.standing_crop,153568.50242149248,153568.50242149248,0
707001,live.standing_crop,153568.50242149248,153567.33863479062,-1.1637867018580437
708001,live.standing_crop,153557.365770981,153568.50242149248,11.136650511471089
709001,live.standing_crop,153566.52285271813,153568.50242149248,1.9795687743462622
710001,live.standing_crop,153568.50242149248,153566.21566999867,-2.2867514938116074
711001,live.standing_crop,153566.4659143032,153562.0120501162,-4.453864187002182
700001,plants,153568.50242136285,153567.33863466978,-1.1637866930686869
701001,plants,153568.50242136247,153567.438091039,-1.0643303234828636
702001,plants,153564.57178746472,153568.4122991402,3.8405116754875053
703001,plants,153568.50242136273,153562.4625357169,-6.039885645819595
704001,plants,153568.50242136302,153564.9549231627,-3.54749820032157
705001,plants,153568.29910348164,153565.00170427436,-3.2973992072802503
706001,plants,153568.50242136297,153568.50242136326,0.00000000029103830456733704
707001,plants,153568.50242136294,153567.3386346699,-1.163786693039583
708001,plants,153557.3657708613,153568.50242136282,11.136650501517579
709001,plants,153566.52285271106,153568.50242136317,1.9795686521101743
710001,plants,153568.50242136308,153566.21566988475,-2.2867514783283696
711001,plants,153566.4659141753,153562.01205001018,-4.4538641651161015
