seed,arm,status,failed_tick,failure_reason,final_checksum,warnings,plants,detritus,live.animals_eu,live.closed_eu_total,live.agent_count,live.herbivore_count,live.predator_count,live.food_items,live.standing_crop,live.mean_agent_energy,live.season_phase
700001,control,completed,,,3305441016,,153568.50242136285,1018.747442132219,0,154587.24986349506,10,7,3,50,153568.50242149248,0,6.282561779022217
700001,treatment,completed,,,2643270831,,153567.33863466978,1019.9112288341591,0,154587.24986350394,10,7,3,50,153567.33863479062,0,6.282561779022217
701001,control,completed,,,1664918550,,153568.50242136247,1018.7474421323063,0,154587.24986349477,10,7,3,50,153568.50242149248,0,6.282561779022217
701001,treatment,completed,,,3905737835,,153567.438091039,1019.8117724564829,0,154587.24986349547,10,7,3,50,153567.43809116795,0,6.282561779022217
702001,control,completed,,,3495632686,,153564.57178746472,1022.6780760342926,0,154587.24986349902,10,7,3,50,153564.57178758993,0,6.282561779022217
702001,treatment,completed,,,867730734,,153568.4122991402,1018.8375643549618,0,154587.24986349518,10,7,3,50,153568.41229926958,0,6.282561779022217
703001,control,completed,,,3428467528,,153568.50242136273,1018.7474421319062,0,154587.24986349465,10,7,3,50,153568.50242149248,0,6.282561779022217
703001,treatment,completed,,,2841442100,,153562.4625357169,1024.787327801122,0,154587.24986351802,10,7,3,50,153562.46253582253,0,6.282561779022217
704001,control,completed,,,2603997396,,153568.50242136302,1018.7474421320549,0,154587.2498634951,10,7,3,50,153568.50242149248,0,6.282561779022217
704001,treatment,completed,,,3949368595,,153564.9549231627,1022.294940343613,0,154587.24986350632,10,7,3,50,153564.9549232812,0,6.282561779022217
705001,control,completed,,,1452380540,,153568.29910348164,1018.9507600127207,0,154587.24986349436,10,7,3,50,153568.29910361185,0,6.282561779022217
705001,treatment,completed,,,66436977,,153565.00170427436,1022.2481592354677,0,154587.24986350982,10,7,3,50,153565.001704389,0,6.282561779022217
706001,control,completed,,,3976093095,,153568.50242136297,1018.7474421322307,0,154587.2498634952,10,7,3,50,153568.50242149248,0,6.282561779022217
706001,treatment,completed,,,3690537612,,153568.50242136326,1018.7474421323036,0,154587.24986349556,10,7,3,50,153568.50242149248,0,6.282561779022217
707001,control,completed,,,1970822244,,153568.50242136294,1018.7474421322474,0,154587.24986349518,10,7,3,50,153568.50242149248,0,6.282561779022217
707001,treatment,completed,,,116793646,,153567.3386346699,1019.9112288339818,0,154587.24986350388,10,7,3,50,153567.33863479062,0,6.282561779022217
708001,control,completed,,,1443001825,,153557.3657708613,1029.8840926433254,0,154587.24986350464,10,7,3,50,153557.365770981,0,6.282561779022217
708001,treatment,completed,,,1543754777,,153568.50242136282,1018.7474421319712,0,154587.2498634948,10,7,3,50,153568.50242149248,0,6.282561779022217
709001,control,completed,,,1401106942,,153566.52285271106,1020.7270109063684,0,154587.2498636174,10,7,3,50,153566.52285271813,0,6.282561779022217
709001,treatment,completed,,,1490020477,,153568.50242136317,1018.7474421320123,0,154587.24986349518,10,7,3,50,153568.50242149248,0,6.282561779022217
710001,control,completed,,,2790256996,,153568.50242136308,1018.7474421321128,0,154587.2498634952,10,7,3,50,153568.50242149248,0,6.282561779022217
710001,treatment,completed,,,2417609407,,153566.21566988475,1021.0341936255002,0,154587.24986351025,10,7,3,50,153566.21566999867,0,6.282561779022217
711001,control,completed,,,207688652,,153566.4659141753,1020.7839493212898,0,154587.24986349657,10,7,3,50,153566.4659143032,0,6.282561779022217
711001,treatment,completed,,,387710816,,153562.01205001018,1025.2378135078752,0,154587.24986351805,10,7,3,50,153562.0120501162,0,6.282561779022217
