seed,observable,control_final,treatment_final,delta
999983,detritus,1018.7474421320069,1018.7474421321381,0.0000000001311946107307449
999983,live.agent_count,10,10,0
999983,live.animals_eu,0,0,0
999983,live.closed_eu_total,154587.24986349494,154587.24986349553,0.0000000005820766091346741
999983,live.food_items,50,50,0
999983,live.herbivore_count,7,7,0
999983,live.mean_agent_energy,0,0,0
999983,live.predator_count,3,3,0
999983,live.season_phase,6.282561779022217,6.282561779022217,0
999983,live.standing_crop,153568.50242149248,153568.50242149248,0
999983,plants,153568.50242136294,153568.5024213634,0.0000000004656612873077393
